Param,Metals,Age
EDI,Cr,Child
EDI,Cr,Adult
EDI,Mn,Child
EDI,Mn,Adult
EDI,Fe,Child
EDI,Fe,Adult
EDI,Co,Child
EDI,Co,Adult
EDI,Cu,Child
EDI,Cu,Adult
EDI,Zn,Child
EDI,Zn,Adult
EDI,As,Child
EDI,As,Adult
EDI,Se,Child
EDI,Se,Adult
EDI,Cd,Child
EDI,Cd,Adult
EDI,Hg,Child
EDI,Hg,Adult
EDI,Pb,Child
EDI,Pb,Adult
THQ,Cr,Child
THQ,Cr,Adult
THQ,Mn,Child
THQ,Mn,Adult
THQ,Fe,Child
THQ,Fe,Adult
THQ,Co,Child
THQ,Co,Adult
THQ,Cu,Child
THQ,Cu,Adult
THQ,Zn,Child
THQ,Zn,Adult
THQ,As,Child
THQ,As,Adult
THQ,Se,Child
THQ,Se,Adult
THQ,Cd,Child
THQ,Cd,Adult
THQ,Hg,Child
THQ,Hg,Adult
THQ,Pb,Child
THQ,Pb,Adult
HI,,Child
HI,,Adult
CR,Cr,Child
CR,Cr,Adult
CR,As,Child
CR,As,Adult
CR,Cd,Child
CR,Cd,Adult
CR,Pb,Child
CR,Pb,Adult
TCR,,Child
TCR,,Adult